Metadaten,INVNR,OBJEKT,BEZEICHNUNG,INHALT_DARGESTELLT,MATERIAL,TECHNIK,MASZE,Thema,AUFSCHRIFT_MERKMALE,SP,Th,B,S,Rac,Dmpf,L,Mich,Raf,HK,DC,Rf,T,publiziert_in_Publikation,vorgesehen_zur_Publikation,REFERENT_Eigenschaft_1,REFERENT_Typ_1,QUELLE_Beziehung_REFERENT_1,REFERENT_Zeit_1,REFERENT_Ort_1,REFERENT_Bezeichnung_1,REFERENT_Eigenschaft_2,REFERENT_Typ_2,QUELLE_Beziehung_REFERENT_2,REFERENT_Zeit_2,REFERENT_Ort_2,REFERENT_Bezeichnung_2,REFERENT_Eigenschaft_3,REFERENT_Typ_3,QUELLE_Beziehung_REFERENT_3,REFERENT_Zeit_3,REFERENT_Ort_3,REFERENT_Bezeichnung_3,REFERENT_Eigenschaft_4,REFERENT_Typ_4,QUELLE_Beziehung_REFERENT_4,REFERENT_Zeit_4,REFRENT_Ort_4,REFERENT_Bezeichnung_4,REFERENT_Eigenschaft_5,REFERENT_Typ_5,QUELLE_Beziehung_REFERENT_5,REFERENT_Zeit_5,REFERENT_Ort_5,REFERENT_Bezeichnung_5,REFERENT_Eigenschaft_6,REFERENT_Typ_6,QUELLE_Beziehung_REFERENT_6,REFERENT_Zeit_6,REFERENT_Ort_6,REFERENT_Bezeichnung_6,REFERENT_Eigenschaft_7,REFERENT_Typ_7,QUELLE_Beziehung_REFERENT_7,REFERENT_Zeit_7,REFERENT_Ort_7,REFERENT_Bezeichnung_7,REFERENT_Eigenschaft_8,REFERENT_Typ_8,QUELLE_Beziehung_REFERENT_8,REFERENT_Zeit_8,REFERENT_Ort_8,REFERENT_Bezeichnung_8,REFERENT_Eigenschaft_9,REFERENT_Typ_9,QUELLE_Beziehung_REFERENT_9,REFERENT_Zeit_9,REFERENT_Ort_9,REFERENT_Bezeichnung_9,REFERENT_Eigenschaft_10,REFERENT_Typ_10,QUELLE_Beziehung_REFERENT_10,REFERENT_Zeit_10,REFERENT_Ort_10,REFERENT_Bezeichnung_10,REFERENT_Eigenschaft_11,REFERENT_Typ_11,QUELLE_Beziehung_REFERENT_11,REFERENT_Zeit_11,REFERENT_Ort_11,REFERENT_Bezeichnung_11,,,,,,,AUDIO Text,,,,,
8,IV.6.3 (E),Blatt aus Skizzenbuch,Blatt: Skizzenbuch: 1881/1882 Rom,Abbildung; Beschriftung,1 Blatt Papier,Bleistift (grau),107 x 169 mm,,,,,,x,,,,,,,,,,,,materiell,Person,verfasst,,,,materiell,Artefakt,wiedergebend,1881; 1882,Rom,Kastell,materiell,Person,verfasst,NULL,NULL,Heinrich von Geymüller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,IV.6.3 (E),Blatt aus Skizzenbuch,Blatt: Skizzenbuch: 1881/1882 Rom,Abbildung; Beschriftung,1 Blatt Papier,Bleistift (grau),107 x 169 mm,,"Beschriftung: ""Copie en 1902 d'après mes notes au crayon prises sur place en 1882 et marquèes sur le plan de Rome de 1881 [...]"" ""ich weiß 1902 nicht mehr genau was das bedeutet""",,,,x,,,,,,,,,,,,materiell,Person,verfasst,,,,materiell,Artefakt,wiedergebend,1881; 1882,Rom,Kastell,materiell,Person,verfasst,NULL,NULL,Heinrich von Geymüller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,IV.6.3 (E),Blatt aus Skizzenbuch,Blatt: Skizzenbuch: 1881/1882 Rom,Abbildung; Beschriftung,1 Blatt Papier,Bleistift (grau),340 x 430 mm,,,,,,x,,,,,,,,,,,,materiell,Person,verfasst,,,,materiell,Artefakt,wiedergebend,1881; 1882,Rom,Kastell,materiell,Person,verfasst,NULL,NULL,Heinrich von Geymüller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,IV.6.5,Skizzenbuch,Skizzenbuch: 1869 IV,Abbildungen; Beschriftungen; Text,108 Blätter Papier,Bleistift (grau),130 x 202 mm ,,gebunden,x,,,x,,,,,,,,,,Germann/Ploder 2009 (Kat.Nr. 15),,materiell,Person,verfasst,,,,materiell,Artefakte,wiedergebend,1869; 1875; 1878,Rom; Pompei; Foglino; Città di Castello; Arezzo; Bologna; Pavia; Torino; Susa; Carpi; Reggio; Milano; Berlin,Ponte Salaro (Rom); Sant'Adriano (Rom); Villa Madama; Bahnhof Arezzo (Baukonstruktion); diverse Archiekturen,materiell,natürliche Objekte,wiedergebend,,Rom; San Gennaro; Palombara; Tivoli; Monte Circeo; Genazzano; Nemi; Lago di Albano; Salerno; Monte Cassino; Narni; Lago Trasimeno; Amalfi; San Rossore; Montecatini; Serravalle; Cap Gris-Nez;,Panorama,materiell,natürliches Objekt,wiedergebend,,Sorrento,Fisch,immateriell,Reise,wiedergebend,,Rom,Reise nach Rom,materiell,Artefakte,wiedergebend,,Pompei,Skulptur,materiell,Artefakte,wiedergebend,,Pisa,Abbild: Bonozzo Gozzoli,materiell,Personen,verweisend,,NULL,Antonio Labacco; M. Besenval; Carl Rauch; Donato Bramante,materiell,Archivquelle,wiedergebend,,Fabbrica di San Pietro,MS. H. 11. 22.,,,,,,,,,,,,,,,,,,,,,,,,
12,IV.6.5 (E),Blatt,Blatt: Skizzenbuch: 1869 IV,Text,1 Blatt Papier,Bleistift (grau),134 x 214 mm,,,x,,x,x,,,,,,,,,,,,materiell,Person,verfasst,,,,materiell,Archivquelle,wiedergebend,1869,NULL,unbekannt,materiell,Person,wiedergebend,,NULL,Bramante,materiell,Person,verfasst,NULL,NULL,Heinrich von Geymüller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,IV.6.5 (E),Blatt aus Skizzenbuch,Blatt: Skizzenbuch: 1869 IV,Text,1 Blatt Papier,Bleistift (grau),181 x 225 mm,,[Ergänzung zu letzem Blatt im Skizzenbuch (IV.6.5)],,,,x,,,,,,,,,,,,materiell,Person,verfasst,,,,materiell,Artefakte,verweisend,NULL,Assisi; Angeli; Cortina; Città di Castello; Arezzo; Pisa; Bologna; Collalto; Pavia; Certosa; Torino; Susa; Basel; Paris; Rom; Firenze; Rimini; Cesena; Faenza; Ravenna; Modena; Pienza; Sorrento; Nemi; Castel Gandolfo; Genzano di Roma; Albano Laziale; Cluny; Lago Trasimeno; Casalpusterlengo; Capri; Campanella; Porto; Amafli; Vietri sul Mare; Salerno; Ischia; Monte Cassino; Portici; San Germano; Narni; Foligno; Duino,Liste von Orten,materiell,Person,verfasst,NULL,NULL,Heinrich von Geymüller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,IV.2.3.b,Skizzenbuch,Skizzenbuch: o. Aufschrift | Skizzenbuch 1879,Abbildungen; Beschriftungen; Text,28 Blätter Papier,Bleistift (grau),205 x 150 mm,,gebunden; Blätter herausgeschnitten,x,,,x,,,,,,,,,,,,materiell,Person,verfasst,,,,materiell,Artefakte,wiedergebend,1879,Carpi; Reggio; Torino; Gaisberg[?],diverse Architekturen,materiell,natürliche Objekte,wiedergebend,,Monte Rosa,Panorama,immateriell,Reise,wiedergebend,,Carpi; Reggio; Torino; Gaisberg[?]; Monte Rosa,Reise nach Carpi; Reggio; Milano; Berlin; etc.,materiell,Person,verfasst,NULL,NULL,Heinrich von Geymüller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,VII.C.3.c,Skizzenbuch,Skizzenbuch: o. Aufschrift (Kassette) | o. Aufschrift | 1862-1897 Berlin. Exkursion mit Adler,Abbildungen; Beschriftungen; Text,32 Blätter Papier,Bleistift (grau),250 x 194 mm,,gebunden; Blätter herausgeschnitten,,,,x,,,,,,,,,,Germann/Ploder 2009 (Kat.Nr. 13),,materiell,Person,verfasst,,,,materiell ,Artefakte,wiedergebend,1862,Berlin; Hochfelden; Speier; Limburg (an der Haart); Eusserthal; Trifels; Weißenburg; Potsdam; Hagenau; Strassburg; Eschau (Unterelsass); Neuweiler (Neuwiller-lès-Saverne),Adelphikirche (Neuweiler); Abtei Sankt Sophie (Eschau); Münster (Straßburg); Basilika (Hagenau); Notre-Dame (Weißenburg; Elsass); Burg Trifels (Trifels Berg); Schloss Charlottenhof (Potsdam); diverse Architekturen,materiell,natürliche Objekte,wiedergebend,,Potsdam (Bahnhof),Panorama,materiell,Personen,wiedergebend,,Speier > Limburg (an der Haart),Friedrich Adler; Max Alioth,immateriell,Reise,wiedergebend,,Potsdam (Bahnhof); Speier; Limburg (an der Haart); Berlin; Hochfelden; Speier; Limburg (an der Haart); Eusserthal; Trifels; Weißenburg; Potsdam; Hagenau; Strassburg; Eschau (Unterelsass); Neuweiler (Neuwiller-lès-Saverne),Reise von Berlin,materiell,Person,verfasst,NULL,NULL,Heinrich von Geymüller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,VII.C.3.c (E),Blatt aus Skizzenbuch,Blatt: Skizzenbuch: o. Aufschrift (Kassette) | o. Aufschrift | 1862-1897 Berlin. Exkursion mit Adler ,Abbildung; Beschriftung,1 Blatt Papier,Bleistift (grau),171 x 249 mm,,"Vorderseite: Beschriftung: ""1183-1272""",,,,x,,,,,,,,,,,,materiell,Person,verfasst,,,,materiell,Artefakt,wiedergebend,1862,Lehnin <Kloser Lehnin>,Zisterzienserkloster (Lehnin) (Detail; Apsis),materiell,Person,verfasst,NULL,NULL,Heinrich von Geymüller,(Lehnin. 14. Mai Mittag 1862),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,VII.C.3.c (E),Fotografie,Fotografie: Skizzenbuch: o. Aufschrift (Kassette) | o. Aufschrift | 1862-1897 Berlin. Exkursion mit Adler,Abbildung; Nummerierung,1 Blatt Fotopapier,Belichtung,226 x 160 mm,,"Rückseite: Nummerierung: ""1758""",,,,x,,,,,,,,,,,,materiell,Person,verfasst,,,,materiell ,Artefakt,abbildend,1862,Lehnin <Kloser Lehnin>,Zisterzienserkloster (Lehnin),immateriell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,VII.C.3.c (E),Fotografie,Fotografie: Skizzenbuch: o. Aufschrift (Kassette) | o. Aufschrift | 1862-1897 Berlin. Exkursion mit Adler,Abbildung; Nummerierung,1 Blatt Fotopapier,Belichtung,226 x 160 mm,,"Rückseite: Nummerierung: ""1761""",,,,x,,,,,,,,,,,,materiell,Person,verfasst,,,,materiell ,Artefakt,abbildend,1862,Lehnin <Kloser Lehnin>,Zisterzienserkloster (Lehnin),immateriell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,VII.C.3.c (E),Fotografie,Fotografie: Skizzenbuch: o. Aufschrift (Kassette) | o. Aufschrift | 1862-1897 Berlin. Exkursion mit Adler,Abbildung; Nummerierung,1 Blatt Fotopapier,Belichtung,226 x 160 mm,,"Rückseite: Nummerierung: ""1764""",,,,x,,,,,,,,,,,,materiell,Person,verfasst,,,,materiell ,Artefakt,abbildend,1862,Lehnin <Kloser Lehnin>,Zisterzienserkloster (Lehnin),immateriell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,VII.C.3.c (E),Fotografie,Fotografie: Skizzenbuch: o. Aufschrift (Kassette) | o. Aufschrift | 1862-1897 Berlin. Exkursion mit Adler,Abbildung; Nummerierung,1 Blatt Fotopapier,Belichtung,226 x 160 mm,,"Rückseite: Nummerierung: ""1766""",,,,x,,,,,,,,,,,,materiell,Person,verfasst,,,,materiell ,Artefakt,abbildend,1862,Lehnin <Kloser Lehnin>,Zisterzienserkloster (Lehnin),immateriell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,VII.C.3.c (E),Fotografie,Fotografie: Skizzenbuch: o. Aufschrift (Kassette) | o. Aufschrift | 1862-1897 Berlin. Exkursion mit Adler,Abbildung; Nummerierung,1 Blatt Fotopapier,Belichtung,226 x 160 mm,,"Rückseite: Nummerierung: ""1767""",,,,x,,,,,,,,,,,,materiell,Person,verfasst,,,,materiell ,Artefakt,abbildend,1862,Lehnin <Kloser Lehnin>,Zisterzienserkloster (Lehnin),immateriell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,V.4.1,Skizzenbuch,Skizzenbuch: II 1866 I Skizzenbuch | Florenz,Abbildungen; Beschriftungen; Text,78 Blätter Papier,Bleistift (grau),121 x 191 mm,,gebunden,,,,x,,,,,,,,,x,Germann/Ploder 2009 (Kat.Nr. 14),,materiell,Person,verfasst,,,,materiell,Artefakte,wiedergebend,1866,Florenz; Stanto Stefano in Pane (Florenz); Palagetto (San Miniato); Badia a Ripoli,Villa Benari; Il Poderone (Porta San Nicolo Firenze); Villa Dani; Palazzo Gondi; Villa Palagetto; Villa della Campana; diverse Architekturen,materiell,Person,wiedergebend,,NULL,Philippe Brunelleschi ,materiell,Person,verweisend,,Palagetto,Carocci,materiell,natürliches Objekt,wiedergebend ,,NULL,Delfin,materiell,Person,verfasst,NULL,NULL,Heinrich von Geymüller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,IV.6.1,Skizzenbuch,Skizzenbuch: o. Aufschrift (1865),Abbildungen; Beschriftungen; Text,71 Blätter Papier,Bleistift (grau); koloriert (tweilweise),100 x 146 mm,,"Blatt herausgerissen [schon vor Seitennummerierung]; Klebezettel Vertrieb: ""Maiso Alph.Giroux Paris""; gebunden",,,,x,,,,,,,,,x,,,materiell,Person,verfasst,,,,materiell,Artefakte,wiedergebend,1865,Lelame; Bazzano; Montecatini; Pisa; Rocca della Verucca (Moonti Pisani)[?]; Florenz; Grosseto; Rom; ,Dom Pisa; Certosa di Firenze; Dom (San Lorenzo) Grosetto[?]; Villa Borghese (Rom); Terme di Caracalla (Roma); Santa Sabina (Rom); Grabmahl der Cecilia Metella (Rom); St. Peter (Rom); San Carlo ai Catinari (Rom); Casa di Michelangelo (Rom) [=1874 wegen der Arbeiten am Capitol zerstört ; 1941 Fassade am Gianicolo (Rom) wiedererrichtet]; Villa Farnesina (Rom); San Pietro in Montorio (Rom); Palazzo (Via del Boschetto in Rom [antico romano]);,materiell,Person,verweisend,,St. Peter (Rom),Carlo Maderna; Michaelangelo (Buonarotti); Bernardo di Lorenzo,materiell,Literatur,verweisend,,Serloi III. XXXVI (46),von Serlio,materiell,natürliches Objekt,wiedergebend ,,Grabmahl der Cecilia Metella (Rom),Hahn und Henne,materiell,Artefakte,wiedergebend,,Piazza Montanara (Rom),Mode traditionell für Frauen,materiell,Person,verfasst,NULL,NULL,Heinrich von Geymüller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,IV.6.6,Skizzenbuch,Skizzenbuch: 1875,Abbildungen; Beschriftungen; Text,44 Blätter Papier,Bleistift (grau),115 x 163 mm,,gebunden,,,,x,,,,,,,,,x,,,materiell,Person,verfasst,,,,materiell ,Artefakte,wiedergebend,1875,Flroenz; Bologna; Gubbio; Madonna del Monte (Cesena); Cesena; Faenza; Rimini; Ravenna,Palazzo Sanuti Bevilacqua (Via D'Azeglio; Bologna); Palazzo Pazzi-Quaratesi (Florenz); Santo Spirito (Florenz) [Sakristei]; Palazzo Ducale (Gubbio); Basilica di Madonna del Monte (Cesena); Rocca Malatestiana (Cesena); Dom Cesena; Santo Stefano (Faenza); San Bernardo (Faenza); Basilica Sant'Apollinare in Classe (Ravenna);,immateriell,Forschungsthema,verweisend,,NULL,Bramante Malerei,materiell,Person,wiedergebend,,Palazzo Pazzi-Quaratesi (Florenz),Bramante,materiell,Personen,verweisend,,Gubbio; Faenza,Luigi Bonfatti [Buonfatti]; Pietro Conti; Giovanni Bellini,materiell,Literatur,verweisend,,NULL,Reposati; Rinaldo: La Zecca di Gubbio e delle geste de' conti e duchi d'Urbino. Bologna; 1772. 2 volumi.,materiell,natürliches Objekt,wiedergebend,,Madonna del Monte (Cesena),Panorama,materiell,Artefakt,verweisend,,NULL,Leonardo Giebel,materiell,Person,verfasst,NULL,NULL,Heinrich von Geymüller,,,,,,,,,,,,,,,,,,,,,,,,
25,IV.6.2,Skizzenbuch,Skizzenbuch: Jänner 1864. Paris,Abbildungen; Beschriftungen; Text,70 Blätter Papier,Bleistift (grau),133 x 217 mm,,"gebunden; Klebezettel: ""Vertrieb: Dupont; Rue St. Honoré; 209 (Papeterie & coulers fines)""",,,,x,,,,,,,,,,,,materiell,Person,verfasst,,,,materiell,Artefakte,behandelnd,1864; 1867,Paris,Saint-Paul-Saint-Louis (Paris); Saint-Denis-de-la-Chartre (Paris); Notre-Dame Paris (Paris); Saint-Eustache (Paris),materiell,Artefakte,wiedergebend,,Paris,Hotel du Pourtalès (Paris); ,immateriell,Technologie,wiedergebend,,Notre Dames Champs 38 (Paris) ['Maison Leon Duvoir'] u.a.,Bautechnik (Beleuchtung und Beheizung ['éclairage et chauffage']),materiell,natürliche Objekte,beschreibend,,NULL,Planzen (lat. Namen),materiell,Person,verfasst,NULL,NULL,Heinrich von Geymüller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,IV.6.2 (E),Rechnung,Rechnung: Skizzenbuch: Jänner 1864. Paris,Text,1 Blatt Papier,Bleistift (grau),110 x 180 mm,,,,,,x,,,,,,,,,,,,materiell,Person,verfasst, (10.06.1867),,,materiell,Organisation,repräsentierend,1867,Paris,Esposicion Universal: Café Espanol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,IV.6.4,Skizzenbuch,Skizzenbuch: o . Aufschrift | G. Gruyer,Abbildungen; Beschriftungen; Text; Stempel,88 Blätter Papier,Bleistift (grau),137 x 210 mm,,"Stempel: ""Vertrieb: J. Bazire 43Brd. Malesherbes""; gebunden",,,,x,,,,,,,,,,,,materiell,Person,verfasst,,,,materiell,Artefakte,verweisend,1870; 1872; 1873; 1876; 1887; 1904,Crew (Cheshire); Liverpool; Allahabad (India),Crew Hall (Cheshire); The New Liverpool Exchange (Liverpool); All Saints Cathedral Allahabad [India]); Südbahnhof (Wien); Volkstheater (Wien); Sternwarte (Wien); Votivkirche (Wien); Parlament (Ottawa);,materiell,Personen,verweisend,,Cheshire; Paris; Børsen; Wien; Fredrikstad,Edward M.[iddleton] Barry RA; Thomas Henry Wyatt; William Burges; Giovan Battista Filippo Basile; Guglielmo Calderini; Viollet-Le-Duc; Luigi Boffi; Hans Christian Amberg; Friedrich Schmidt; Willhelm Flattich; Friedrich Schachner; Alois Maria Wurm-Arnkreuz; Franz Neumann jun.; Hermann Helmer; Ferdinand Fellner; Heinrich Ferstel; Carl Hasenauer; Julius Nicolai Jacobsen; ,materiell,Person,verfasst,NULL,NULL,Heinrich von Geymüller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,VII.K.6.d,Blatt,Blatt: Thesaurus Material (Geymüller-Notizen) [Aufschrift Egger] | Troyes,Abbildung; Beschriftung,1 Blatt Papier,Bleistift (grau),113 x 193 mm,,Abrisskante links,,x,,,,,,,,,,,,,,materiell,Person,verfasst,,,,materiell,Artefakt,verweisend,NULL,Troyes,Saint Nicolas (Troyes),materiell,Literatur,verweisend,,Troyes; Lyon,Revue archéologique (Journal; magazine; 1855),materiell,Person,verfasst,NULL,NULL,Heinrich von Geymüller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
